ID, Method, Class, Line, LineNo
54, void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(41), 165, 
55, void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r5 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r4), 163, 
56, void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r5 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" ON ("), 161, 
57, void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r5 = r0.<org.fdroid.fdroid.data.QueryBuilder: java.lang.StringBuilder tables>, 159, 
58, void joinWithType(java.lang.String;java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, if $r3 == null goto label1, 150, 
59, void addInstalledAppVersionCode(), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void addInstalledAppField(java.lang.String;java.lang.String)>("versionCode"; "installedVersionCode"), 61, 
60, void appendField(java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: void appendField(java.lang.String;java.lang.String;java.lang.String)>($r1; $r2; null), 323, 
61, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, interfaceinvoke $r6.<java.util.List: boolean add(java.lang.Object)>($r1), 366, 
62, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r1 = virtualinvoke r4.<java.lang.StringBuilder: java.lang.String toString()>(), 364, 
63, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r6 = r0.<org.fdroid.fdroid.data.QueryBuilder: java.util.List fields>, 362, 
64, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 359, 
65, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r5 = virtualinvoke r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" AS "), 357, 
66, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, if $r3 == null goto label2, 355, 
67, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r1), 353, 
68, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(46), 350, 
69, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, $r5 = virtualinvoke r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r2), 348, 
70, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, if $r2 == null goto label1, 346, 
71, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, specialinvoke r4.<java.lang.StringBuilder: void <init>()>(), 344, 
72, void appendField(java.lang.String;java.lang.String;java.lang.String), org.fdroid.fdroid.data.QueryBuilder, r4 = new java.lang.StringBuilder, 342, 
73, void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$Query, virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void naturalJoinToInstalledTable()>(), 324, 
74, void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$Query, if $z0 == 0 goto label1, 322, 
75, void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection), org.fdroid.fdroid.data.AppProvider$Query, $z0 = virtualinvoke $r1.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: boolean naturalJoinToInstalled()>(), 320, 
